Gene,49,Experimentally validated?,Studies in pancreatic cancer,RP-LIT score,GPT-LIT score,CHATGPT score,Weighted score,Mutationfrequency(cBioportalTCGAPanCancerAtlas),GETlistscore,GTlistscore,Expressionlistscore,Weighted Mutationfrequency(cBioportalTCGAPanCancerAtlas) score,weighted CNA(CBIOPORTALTCGAPANCANCERATLAS)score,weighted Mutationfrequency(CbioportalUTSWNatCommun2015) score,weighted CNA(CBIOPORTALUTSWNATCOMMUN2015,Combined weighted score (all BEERE lists),cumulative weighted organ expression score,Mutationfrequency(CbioportalUTSWNatCommun2015),CNA(CBIOPORTALTCGAPANCANCERATLAS),CNA(CBIOPORTALUTSWNATCOMMUN2015,weighted GETlistscore,GETlistrank,weighted GTlistscore,weighted GTlistscore,GTlistrank,weighted Expression listscore,Expressionlistrank,brain expression,Weighted brain expression score,gastrointestinal expression,weighted gastrointestinal expression score,liver expression,weighted liver expression score,kidney expression,weighted kidney expression score,studies of gene in pancreatic cancer(last 10 years),Occurance,,,,
MAP2K2,,,,,,200,-14.5,0,4,0,4,0,0,-0.0207,1.6683,0.68745,-16.8261,0.9,0,8.3,0.34425,1464,0,0,0,0.3432,1232,46,-2.346,80,-7.6,43.9,-4.4339,30.2,-2.4462,,3,,,,
VEGFB,,,,,,190,-15.5,0,2,0,2,0,0.024,0,2.9547,0.41444,-18.8811,0,0.5,14.7,0.2006,2690,0,0,0,0.21384,2126,110,-5.61,24,-2.28,42.9,-4.3329,82.2,-6.6582,,1,,,,
MGEA5,,,,,,255,-16.4,0,1,0,0,0,0,0,0,0.07055,-16.5032,0,0,0,0.07055,6383,0,0,0,0,na,60,-3.06,56,-5.32,44.9,-4.5349,44.3,-3.5883,,1,,,,
TYK2,,,,,,180,-16.8,0.6,8,0,8,0.0474,0,0,1.4673,1.30606,-19.6309,0,0,7.3,0.6443,687,0,0,0,0.66176,534,36,-1.836,38,-3.61,90,-9.09,62.9,-5.0949,,2,,,,
HDAC1,,,,,,220,-17,0,0,0,0,0,0,0,0.1809,0,-17.1919,0,0,0.9,0,0,0,0,0,0,na,10,-0.51,93,-8.835,40.4,-4.0804,46.5,-3.7665,,3,,,,
METAP2,,,,,,190,-17.6,0.6,3,0,3,0.0474,0,0,0.3618,0.47421,-18.4465,0,0,1.8,0.25245,2085,0,0,0,0.22176,2012,38,-1.938,41,-3.895,81.9,-8.2719,53.6,-4.3416,,1,,,,
FGFR2,,,,,,210,-19.8,0,0,0,0,0,0.024,0,0.3618,0,-20.1976,0,0.5,1.8,0,0,0,0,0,0,na,280,-14.28,17,-1.615,26.4,-2.6664,20.2,-1.6362,,3,,,,
DDAH1,,,,,,200,-23.4,0.6,1,0,1,0.0474,0,0,0.3618,0.1445,-23.9175,0,0,1.8,0.0697,6721,0,0,0,0.0748,5712,58,-2.958,36,-3.42,77.1,-7.7871,120.4,-9.7524,,1,,,,
PAM,,,,,,170,-24.2,0.6,1,0,1,0.0474,0.0528,0,0.1809,0.21762,-24.672,0,1.1,0.9,0.1173,4317,0,0,0,0.10032,4227,53,-2.703,110,-10.45,21.1,-2.1311,115.9,-9.3879,,1,,,,
ATP5F1E,,,,,,185,-26.9,0,0,0,0,0,0.0768,0,1.2864,0,-28.2351,0,1.6,6.4,0,0,0,0,0,0,na,70,-3.57,70,-6.65,78.2,-7.8982,124.9,-10.1169,,1,,,,
VEGFA,,,,,,255,-29.3,0,57,2,2,0,0,0,1.6683,4.40264,-37.9515,0,0,8.3,4.862,103,-0.12672,-0.6336,320,0.17424,104,23,-1.173,65,-6.175,211.9,-21.4019,113.6,-9.2016,,5,,,,
PSMB5,,,,,,235,-30.6,0.6,7,1,6,0.0474,0.024,0,1.1055,0.7269,-33.8772,0,0.5,5.5,0.5661,792,-0.06464,-0.3232,1150,0.484,793,138,-7.038,79,-7.505,115.4,-11.6554,94.8,-7.6788,,1,,,,
CXCL12,,,,,,230,-34.6,0,23,0,23,0,0,0,0.3618,3.93669,-38.9376,0,0,1.8,1.93205,390,0,0,0,2.00464,283,12,-0.612,48,-4.56,240,-24.24,117.6,-9.5256,,1,,,,
C1QC,,,,,,200,-38.6,0.6,0,0,0,0.0474,0.024,0,0.9246,0,-39.5498,0,0.5,4.6,0,0,0,0,0,0,na,56,-2.856,178,-16.91,163.8,-16.5438,40,-3.24,,3,,,,
CMPK1,,,,,,150,-39.9,0,0,0,0,0,0,0,0.7437,0,-40.6383,0,0,3.7,0,0,0,0,0,0,na,8.3,-0.4233,124,-11.78,218.9,-22.1089,78.1,-6.3261,,1,,,,
C1QA,,,,,,170,-41.3,0.6,0,0,0,0.0474,0.024,0,0.9246,0,-42.2995,0,0.5,4.6,0,0,0,0,0,0,na,57,-2.907,129,-12.255,224.9,-22.7149,54.6,-4.4226,,3,,,,
MAP4,,,,,,160,-42.1,0.6,4,0,4,0.0474,0.024,0,0.5628,0.6221,-43.4052,0,0.5,2.8,0.3009,1691,0,0,0,0.3212,1300,401,-20.451,100,-9.5,64.4,-6.5044,85.8,-6.9498,,2,,,,
C1QB,,,,,,170,-43.8,0.6,0,0,0,0.0474,0.024,0,0.9246,0,-44.8296,0,0.5,4.6,0,0,0,0,0,0,na,65,-3.315,169,-16.055,237.8,-24.0178,17.8,-1.4418,,3,,,,
BBOX1,,,,,,150,-48.9,0,2,0,0,0,0.0528,0,1.1055,0.15385,-50.2072,0,1.1,5.5,0.15385,3599,0,0,0,0,na,15,-0.765,0.1,-0.0095,127.9,-12.9179,450.8,-36.5148,,1,,,,
PSCA,,,,,,160,-51.9,0,0,0,0,0,0.4176,0,5.1657,0,-57.5295,0,8.7,25.7,0,0,0,0,0,0,na,0.3,-0.0153,600,-57,0.6,-0.0606,5.6,-0.4536,,1,,,,
PSMB1,,,,,,170,-62.7,0,7,0,5,0,0.024,-0.0207,0.3618,1.02638,-64.0619,0.9,0.5,1.8,0.5899,754,0,0,0,0.43648,907,110,-5.61,150,-14.25,298.9,-30.1889,173,-14.013,,1,,,,
ATOX1,,,,,,150,-64.7,0,0,0,0,0,0.0528,0,0.3618,0,-65.1426,0,1.1,1.8,0,0,0,0,0,0,na,289,-14.739,80,-7.6,254.5,-25.7045,211.1,-17.0991,,2,,,,
CBR1,,,,,,150,-74.3,0,1,0,1,0,0,0,0.1809,0.19294,-74.6301,0,0,0.9,0.0935,5368,0,0,0,0.09944,4400,190,-9.69,319,-30.305,245,-24.745,122.1,-9.8901,,1,,,,
ATP5D,,,,,,150,-78.4,0,2,0,0,0,0,0,0,0.15895,-78.5201,0,0,0,0.15895,3498,0,0,0,0,na,193,-9.843,132,-12.54,356.2,-35.9762,248.9,-20.1609,,2,,,,
PHYH,,,,,,150,-84.6,0.6,0,0,0,0.0474,0.0768,0,0.3618,0,-85.1351,0,1.6,1.8,0,0,0,0,0,0,na,20.8,-1.0608,39.5,-3.7525,647.3,-65.3773,184.5,-14.9445,,1,,,,
SLC2A2,,,,,,150,-85.6,0,2,0,1,0,0.1296,0,0.9246,0.23714,-86.9363,0,2.7,4.6,0.1377,3970,0,0,0,0.09944,4370,0,0,28,-2.66,810.6,-81.8706,29.7,-2.4057,,1,,,,
ATP5C1,,,,,,150,-87.3,0,18,0,2,0,0,0,0,1.71435,-89.002,0,0,0,1.54275,449,0,0,0,0.1716,2658,110,-5.61,170,-16.15,357,-36.057,385,-31.185,,1,,,,
FOS,,,,,,210,-94.4,0,77,1,74,0,0.024,-0.0207,0.1809,12.77096,-108.7221,0.9,0.5,0.9,6.5824,53,-0.06592,-0.3296,914,6.51816,57,140,-7.14,530,-50.35,301.3,-30.4313,256.8,-20.8008,,1,,,,
GSTP1,,,,,,130,-106.3,0.6,5,0,3,0.0474,0.0528,0,2.5728,0.64572,-109.6117,0,1.1,12.8,0.4046,1195,0,0,0,0.24112,1863,370,-18.87,438,-41.61,44,-4.444,551.7,-44.6877,,1,,,,
ATP5O,,,,,,115,-118.9,0,2,0,1,0,0,0,0,0.30168,-119.2394,0,0,0,0.204,2654,0,0,0,0.09768,4760,328,-16.728,290,-27.55,389,-39.289,440.4,-35.6724,,1,,,,
CA2,,,,,,115,-131.1,0,1,0,0,0,0.1824,0,0.9246,0.0697,-132.3234,0,3.8,4.6,0.0697,6851,0,0,0,0,na,130,-6.63,769,-73.055,265.1,-26.7751,319.3,-25.8633,,2,,,,
ATP5A1,,,,,,115,-149.8,0,20,0,5,0,0,0,0,2.14687,-151.952,0,0,0,1.72975,427,0,0,0,0.41712,970,250,-12.75,410,-38.95,428,-43.228,704,-57.024,,1,,,,
ATP4A,,,,,,115,-152.4,1.1,0,0,0,0.0869,0.1584,0,2.9547,0,-155.6444,0,3.3,14.7,0,0,0,0,0,0,na,0,0,1638,-155.61,0.1,-0.0101,0.3,-0.0243,,2,,,,
A2M,,,,,,135,-162,0.6,29,0,5,0.0474,0.0768,-0.0207,0,2.87614,-164.949,0.9,1.6,0,2.4599,309,0,0,0,0.41624,978,75,-3.825,150,-14.25,1212,-122.412,302,-24.462,,2,,,,
HSPB1,,,,,,180,-182.4,0,9,0,7,0,0.0528,0,2.0301,1.41048,-185.8493,0,1.1,10.1,0.8024,585,0,0,0,0.60808,590,380,-19.38,360,-34.2,541.3,-54.6713,958,-77.598,,1,,,,
ATP5B,,,,,,180,-199,0,28,0,4,0,0,0,0,2.72323,-201.741,0,0,0,2.37915,318,0,0,0,0.34408,1223,260,-13.26,580,-55.1,590,-59.59,911,-73.791,,1,,,,
REG1A,,,,,,150,-388.8,0.6,0,0,0,0.0474,0,-0.0207,0.1809,0,-389.0154,0.9,0,0.9,0,0,0,0,0,0,na,2.5,-0.1275,4000,-380,15.5,-1.5655,90.4,-7.3224,,1,,,,
SERPINC1,,,,,,180,-492.5,0.6,2,0,1,0.0474,0.1296,0,2.211,0.21508,-495.102,0,2.7,11,0.1394,3853,0,0,0,0.07568,5113,0,0,0,0,4902,-495.102,0,0,,3,,,,
TF,,,,,,185,-747.6,0.6,3,0,3,0.0474,0,0,0.3618,0.58969,-748.5663,0,0,1.8,0.29665,1733,0,0,0,0.29304,1455,257,-13.107,1.2,-0.114,7278,-735.078,3.3,-0.2673,,2,,,,
ORM2,,,,,,165,-875.4,0,0,0,0,0,0.024,0,0.7437,0,-876.1757,0,0.5,3.7,0,0,0,0,0,0,na,0.1,-0.0051,22,-2.09,8652.9,-873.9429,1.7,-0.1377,,1,,,,
ORM1,,,,,,165,-4231.4,0,1,0,0,0,0.024,0,0.5628,0.0697,-4232.0802,0,0.5,2.8,0.0697,6759,0,0,0,0,na,0.1,-0.0051,6,-0.57,41892,-4231.092,5.1,-0.4131,,1,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
,,,,,,,,,,,,0,0,0,0,,,,,,0,,0,0,,0,,,0,,0,,0,,0,,,,,,
